自助序号,剪枝树减逻辑回归_PR曲线下面积差,剪枝树减逻辑回归_ROC曲线下面积差,剪枝树减逻辑回归_对数损失差
194,-0.3614193985839755,-0.3656920780439882,0.07586240764670243
195,-0.340749757345236,-0.35988093597635434,0.06095891895394984
196,-0.3456271269454245,-0.39133275962331876,0.07423505405473657
197,-0.30732313854171833,-0.39028380209344105,0.07551586273885152
198,-0.3856118906418682,-0.3861303185849946,0.0859555842931633
199,-0.356653426519846,-0.28628190823427935,0.05590958925646433
200,-0.26516678244449243,-0.3241401414943083,0.026257189223666377
201,-0.3483808030583756,-0.2593062279250492,0.06044200118068538
202,-0.4050364959166166,-0.38248742198366736,0.08997582964714523
203,-0.32330402911368006,-0.3183885537971008,0.03387618547706245
204,-0.32444799304623784,-0.31683601619045304,0.04960566557150087
205,-0.2980154527558778,-0.2950406077330281,0.034922381637117916
206,-0.2871487083468398,-0.25870129476246184,0.03603483072642327
207,-0.35252777309752337,-0.258580510886009,0.04244332829863262
208,-0.28576098444768455,-0.3435451957445466,0.04377575636800479
209,-0.33893577054273927,-0.3610586224273242,0.060892152822198786
210,-0.39866811499175253,-0.30944365075587243,0.07486919126076297
211,-0.2964185587275855,-0.3851127447238632,0.06312348587908945
212,-0.3671427612796304,-0.29593334869601673,0.05290687111513526
213,-0.4165878324118084,-0.3986477149444636,0.0782375946578037
214,-0.2673446667825833,-0.4026751778757407,0.0636519123645845
215,-0.3300972339506631,-0.4661879052107943,0.061287281190079534
216,-0.3409837649945906,-0.299553174803509,0.048483341235896205
217,-0.29480017869778574,-0.3816068780800196,0.08020361217783062
218,-0.34702817341432957,-0.45621925123398555,0.07511770050415062
219,-0.3156611304950143,-0.302430066416175,0.047633608007057016
220,-0.33329679381553834,-0.3013767020710829,0.03540357975762132
221,-0.4065387084116636,-0.42612398789482125,0.08572049284454947
222,-0.38655112204969533,-0.3565483653387433,0.07522524932029662
223,-0.32359415700819805,-0.3690327508815865,0.06632340827552391
224,-0.32844159749729823,-0.4236910873386535,0.08048931368933043
225,-0.42799770140786336,-0.3605701903601495,0.07231780501598772
226,-0.26132993839312413,-0.3623101686976745,0.04852195393842057
227,-0.29081663821018705,-0.36940790958988967,0.03811108722105533
228,-0.39058419903920505,-0.328397023836224,0.06282583502611139
229,-0.2167373304126975,-0.3505744698648151,0.04070532999560411
230,-0.3623359809584581,-0.3337640531751189,0.07182191392618487
231,-0.3133440647335814,-0.3128826133017312,0.05459690775846754
232,-0.3396134209789968,-0.4642979329258323,0.08422783191588656
233,-0.25145069520301466,-0.29049037848082865,0.028415134256686514
234,-0.33688619972925504,-0.30969082952759003,0.05466492725824135
235,-0.34957447374044387,-0.32432409120853867,0.06763246070842943
236,-0.29232558091064303,-0.433849526468771,0.08512079252160204
237,-0.36650475230500995,-0.35479503464799517,0.07021226333839811
238,-0.24085071889531462,-0.26730717204055726,0.018833327647955256
239,-0.21184410237359472,-0.40271818464487713,0.04805851739120853
240,-0.29667136987965703,-0.30426663047914615,0.040107263287322115
241,-0.29215854993704343,-0.2728168181722104,0.04709110430952673
242,-0.19036866266141572,-0.26137930884763955,0.024073867087313627
243,-0.25465546497328756,-0.3263623971064674,0.040047740735530635
244,-0.42419744525584496,-0.36601742972474677,0.0739065666762879
245,-0.34336153921989626,-0.3622513168693824,0.0801548463244372
246,-0.2496608321199297,-0.3063015715545476,0.03313346012023766
247,-0.3308662916385497,-0.3376435966941054,0.06125203962006881
248,-0.3387899287605278,-0.3605398016370777,0.06964531301001431
249,-0.28659258751635475,-0.33960843209675456,0.04153622086821207
250,-0.30570916270551973,-0.33594051321580415,0.058026327399307354
251,-0.22322419025875873,-0.321434259153323,0.030645944974028616
252,-0.23942459879315497,-0.29767802837248,0.022210613414010205
253,-0.36752631201309804,-0.4360271536480625,0.0818826529954372
254,-0.3854528106144874,-0.3385336840068821,0.07032108647760554
255,-0.23050869562370788,-0.22320038018884547,0.01870263115488302
256,-0.3089128130577743,-0.3741341987652438,0.0649579782644733
257,-0.28481511355748323,-0.27387271381443323,0.02576787199211189
