目标,路线,外层留出孕妇,训练内阈值,阈值来源,正则强度倒数,训练内对数损失,剪枝复杂度,叶节点数
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B073,0.3661039390930157,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.014034080294879257,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B074,0.46312889969758875,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.26248139698644857,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B074,0.24848139711465456,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.012221597296622227,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B075,0.3555842505229059,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.32615470749573383,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B075,0.36731318598706963,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.012167937712347386,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B076,0.3555842505229059,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.32670631028105857,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B076,0.36160449970396685,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B077,0.2224378670962861,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.32575975732424667,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B077,0.3377192982456141,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B078,0.35662461280259233,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.32680293700036367,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B078,0.3616044997039669,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B079,0.2299727952870286,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.3261527826815345,,
