重复序号,有效标志,抽样技术误差标准差,达标事件数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则两组挑战胜出标志,两组切点,两组低BMI组人数,两组高BMI组人数,固定效应_孕周标准化,固定效应_首次BMI标准化,固定效应_首次年龄标准化,固定效应_首次身高标准化,固定效应_首次生产次数,一组第1组_12周0天已达标比例,一组第1组_13周0天已达标比例,一组第1组_25周0天已达标比例,两组第1组_12周0天已达标比例,两组第1组_13周0天已达标比例,两组第1组_25周0天已达标比例,两组第2组_12周0天已达标比例,两组第2组_13周0天已达标比例,两组第2组_25周0天已达标比例,失败信息
66,1,0.004187439875963418,487,205.6069108708197,211.01832745944347,0,36.43617476,151,16,0.34740696709629576,-0.13068793986509228,-0.08387831358662605,-0.04702569449189026,0.19026246800129187,0.6343885506478694,0.6694261918640497,0.9190266045200095,0.6656359264711021,0.6998607268580829,0.9302672789612582,0.42190712092384375,0.4561871328511363,0.8141420692445867,
67,1,0.0037635038365993936,488,207.56086754025023,212.01657028723116,0,36.43617476,151,16,0.3448080381373124,-0.12470531923541704,-0.08316005767150833,-0.033112024345429376,0.17904770683375731,0.6322740921214144,0.6683446236753883,0.9213612775184676,0.6659470809208471,0.7011495830227521,0.9331060901217557,0.34821861660319553,0.3804562151845402,0.7690384658948914,
68,1,0.007278612703458194,474,215.7909530072432,219.0998332751489,0,36.43617476,151,16,0.3649246663244877,-0.16836134469511632,-0.09045397248603974,-0.036604207380231873,0.21284712976510234,0.6142359560028645,0.6484778805615851,0.9045490268509894,0.6504887491050664,0.6843029478790654,0.9193766810542927,0.3620652353082045,0.39088138649187626,0.7546470301003131,
69,1,0.00555857485401179,482,211.9863038686084,217.24253497149732,0,36.43617476,151,16,0.35427022501666733,-0.11533779083831519,-0.08283685441307789,-0.05635695334561012,0.17362343396183758,0.617769664642914,0.6532772516237405,0.9198571943957623,0.6460945203336217,0.6810889964870328,0.9302453643795541,0.3612426528760832,0.3925938785779677,0.7781120976263147,
70,1,0.005270061648389056,481,210.42389739914424,214.65930551183504,0,36.43617476,151,16,0.3629912898435533,-0.11842796859097937,-0.09982739306154216,-0.057569952715205264,0.18225257503936665,0.6056261117094183,0.6410670342877415,0.9251848061026492,0.6395534006205841,0.6745592387031067,0.9374605080826391,0.34867948772849033,0.3785497280044991,0.7763911062278837,
71,1,0.004746200954251292,481,210.37323487439448,217.1195382314233,0,36.43617476,151,16,0.35461856812916437,-0.11896186274723243,-0.08244908487775642,-0.05124567315953673,0.1755240893499982,0.6109835089876565,0.6479649759398304,0.9180573702194735,0.6366331166858069,0.6731568510321029,0.9273410317697972,0.433561416829849,0.46920210938702633,0.8334103338499048,
72,1,0.005670019380343091,486,209.7701324955805,215.79069947494742,0,31.247618505,88,79,0.3455804847591404,-0.12434775188141105,-0.08650928129066165,-0.0369991310040611,0.18609623895012814,0.6294683160641849,0.6648051103101819,0.918688634769774,0.7109404791711413,0.7442493550970775,0.9470716308073773,0.5425878783828683,0.5780893446254204,0.8803742352959835,
73,1,0.005124505609342903,485,208.37930528305472,213.28728157242347,0,36.43617476,151,16,0.36229348872116607,-0.1326679428378112,-0.08724282849503026,-0.048700840776229756,0.1920353612537601,0.6228689338316852,0.6583505459748656,0.9295439230056066,0.6539615818392527,0.6888594687511554,0.9402834512879968,0.40781957904542915,0.4408811863450617,0.8205591172951588,
74,1,0.004711977077502091,485,210.3917730733861,216.69183705879453,0,36.43617476,151,16,0.3550142804754684,-0.13003907717949248,-0.0752664301945343,-0.036703863452633434,0.18114818002169197,0.6206436730210991,0.6572084612956515,0.9181834936462338,0.6470808257923376,0.6830554622522985,0.9276613387429388,0.4152512148206804,0.450493269339135,0.8181155767867884,
75,1,0.003699216887847124,489,210.05305826054237,214.7949850145351,0,36.43617476,151,16,0.3448007646568258,-0.1333698490699421,-0.08982096281576246,-0.039489374459405625,0.18424102336782783,0.6294602880248669,0.6652159026880808,0.9197425254810907,0.6593258013955606,0.6944642267832577,0.9305373860754684,0.3273621359967628,0.3571422172653552,0.7469836486115466,
