孕周数,孕妇平均BMI,BMI个体内偏差,年龄,生产次数,典型孕妇预测Y浓度,固定效应95%区间下限,固定效应95%区间上限
22.75,40.0,0.0,29.0,0,0.05590925491779492,0.04720926074362249,0.06592763817736481
23.0,40.0,0.0,29.0,0,0.05718347208512767,0.048264731629946024,0.06766272640223979
23.25,40.0,0.0,29.0,0,0.05851992157446657,0.04937612526707109,0.06946423366586735
23.5,40.0,0.0,29.0,0,0.059921397193171154,0.05053656048162515,0.07135156922134962
23.75,40.0,0.0,29.0,0,0.061390844696031996,0.05174199249135031,0.07320238297394475
24.0,40.0,0.0,29.0,0,0.06293136891009292,0.053009110565612694,0.07507273197497417
24.25,40.0,0.0,29.0,0,0.06454624110467207,0.05434084167582459,0.07730017631349662
24.5,40.0,0.0,29.0,0,0.0662389065939251,0.05574028221189648,0.0792560185989008
24.75,40.0,0.0,29.0,0,0.06801299255508818,0.05721070667845599,0.08125971180993717
25.0,40.0,0.0,29.0,0,0.0698723160406666,0.058755576754116315,0.08335014097204874
25.25,40.0,0.0,29.0,0,0.0718208921572267,0.060088596095081284,0.0862446751712552
25.5,40.0,0.0,29.0,0,0.0738629423770159,0.06143885842798635,0.089297009635844
